VIN,Make,Model,Color,Year,Mileage,Price
bd357f5f-98d9-4e7,GMC,Savana 2500,Purple,2009,37955,8.49
b7f87dcf-feea-4e5,BMW,X3,Orange,2006,74658,18.99
22f5d02d-f7b6-4d9,Nissan,Quest,Gold,1997,40859,7.99
096db9d7-9c60-4ca,Chevrolet,Silverado,Red,2006,26783,54.99
f88cd305-7dd6-429,GMC,Vandura 1500,Cyan,1992,63975,5.99
d2053d0f-bbdc-4a4,Mitsubishi,Pajero,Pink,2003,57555,39.99
9cd0383d-e83d-4a8,BMW,5 Series,Blue,1997,34604,6.49
8e662ea2-f398-49f,Chrysler,Town & Country,Teal,2012,62055,9.99
a950eee4-37a7-448,Oldsmobile,Achieva,Yellow,1998,69521,3.49
bb67eb28-9434-40f,Dodge,Dakota,White,1999,52712,39.99
f65ba5c5-f7af-460,GMC,Envoy,Brown,2008,45109,59.99
064ef73c-e584-41f,Chevrolet,Express,Magenta,2012,71190,49.99
3bf38b35-06b4-4bc,Mercury,Mountaineer,Black,2005,78222,3.49
de38a31a-bf49-495,Aston Martin,Rapide,Green,2010,67053,29.99
77db23bf-35a3-415,Saab,9000,Gray,1988,87086,5.99
892a7b3f-14a7-491,BMW,X6,Brown,2008,46680,5.49
b33c4902-a404-4b1,Lamborghini,Diablo,Red,1996,63752,1.99
d3b4e4ad-5903-45b,Pontiac,Grand Am,Green,1989,84931,2.99
78f4a472-a481-46d,Scion,xD,Orange,2009,85960,19.99
fff989a3-cc4c-40b,Lincoln,MKZ,Cyan,2007,78845,7.19
a90fdc45-fd82-46d,Dodge,Ram Van B150,Gray,1992,84908,14.99
1c26c3f0-9e75-4d2,Porsche,911,Teal,2006,50089,14.99
61e2250b-4f43-4e7,Buick,LeSabre,Gold,2003,46671,69.99
ede47a15-4935-4fd,Dodge,Aries,Yellow,1981,78255,99.99
eb12c391-5367-49b,BMW,Z8,Pink,2001,45461,29.99
50cec2a7-c97b-433,Ferrari,F430,Black,2009,94017,1.29
